,0,1,2,3,4,5,6
123,なごみ 日暮里店,東京都荒川区西日暮里２－19－7東忠ビル７階,139.7715375046,35.7281734513,84,居酒屋,営業している
124,和バル biroku ビロク 町田店,東京都町田市中町１-16-14 B1F,139.4465232459,35.5461119716,40,居酒屋,営業していない
125,鳥匠 熊本屋 新宿東口店,東京都新宿区歌舞伎町１-16-10,139.7020908973,35.693871013,120,居酒屋,営業している
126,北海道 八重洲店,東京都中央区八重洲２－７－１２ ヒューリックビルB1～2F,139.7683159448,35.6770802295,550,居酒屋,営業していない
127,九州料理酒場 薩摩日和 さつまびより 秋葉原店,東京都千代田区神田佐久間町１－１６大橋ビル３F,139.7746537465,35.6976433619,100,居酒屋,営業していない
128,塚田農場 池袋東口本店 宮崎県日南市,東京都豊島区南池袋２－１６－８鈴和ビル１Ｆ,139.7126408869,35.7271147721,128,居酒屋,営業している
129,地鶏料理 個室居酒屋 鳥代 高田馬場店,東京都新宿区高田馬場１-27-6ＫＩビル4Ｆ,139.7047988081,35.7124939875,116,居酒屋,営業している
130,京町しずく 銀座有楽町駅前店,東京都中央区銀座西３丁目１番地銀座インズ１２F,139.7646294233,35.674345161,129,居酒屋,営業していない
131,土間土間 恵比寿店,東京都渋谷区恵比寿西１-5-8DIS恵比寿ビルB1F,139.7077550158,35.6484323918,86,居酒屋,営業している
132,食いしん坊 水道橋本店,東京都千代田区神田三崎町３-7-13 三大ビル４Ｆ,139.7520891223,35.7014298317,70,居酒屋,営業している
133,浪花屋 鳥造 池袋東口,東京都豊島区東池袋１－９－１０ユタカビル２F,139.7143028035,35.7312001895,68,居酒屋,営業している
134,とらや 新宿店,東京都新宿区歌舞伎町１-22-3,139.7008537429,35.6948014308,58,焼肉・ホルモン,営業していない
135,土間土間 新橋店,東京都港区新橋３-23-1B1F,139.7577617819,35.6647202275,147,居酒屋,営業している
136,ジュマンジ33 渋谷,東京都渋谷区宇田川町13-16コクサイビルA館B1F,139.6983836235,35.6614573421,100,ダイニングバー・バル,営業している
